PLAYER,WIN,GAME,WIN_PROB
Arraya_Pablo,168,336,0.5
Dosedel_Slava,168,335,0.5015
Luna_Fernando,168,328,0.5122
Volandri_Filippo,167,381,0.4383
Carmichael_Bob,166,391,0.4246
Pozzi_Gianluca,165,411,0.4015
Raonic_Milos,164,247,0.664
Stone_Allan,163,364,0.4478
Gisbert_Sr_Juan,162,295,0.5492
Hrebec_Jiri,162,327,0.4954
Raoux_Guillaume,162,371,0.4367
Van_Rensburg_Christo,162,319,0.5078
Giammalva_Jr_Sammy,160,325,0.4923
Vacek_Daniel,160,364,0.4396
Annacone_Paul,159,288,0.5521
Vicente_Fernando,159,372,0.4274
Davis_Marty,158,331,0.4773
Glickstein_Shlomo,158,303,0.5215
PhillipsMoore_Barry,158,364,0.4341
Chardy_Jeremy,157,317,0.4953
Saviano_Nick,157,351,0.4473
Bergstrom_Christian,156,318,0.4906
Escude_Nicolas,156,279,0.5591
Fassbender_Jurgen,156,299,0.5217
Sargsian_Sargis,156,363,0.4298
Stewart_Sherwood,156,365,0.4274
Carlsson_Kent,155,212,0.7311
McMillan_Frew,155,385,0.4026
Sanguinetti_Davide,154,384,0.401
Schapers_Michiel,153,330,0.4636
Dent_Taylor,152,291,0.5223
Dominguez_Patrice,151,304,0.4967
Tiriac_Ion,150,327,0.4587
Davin_Franco,149,292,0.5103
Granollers_Marcel,149,316,0.4715
Prinosil_David,149,346,0.4306
Van_Dillen_Erik,149,355,0.4197
Starace_Potito,146,333,0.4384
Kulti_Nicklas,145,320,0.4531
Squillari_Franco,145,306,0.4739
Damm_Martin,144,338,0.426
Barthes_Pierre,143,277,0.5162
Sundstrom_Henrik,143,248,0.5766
Dolgopolov_Alexandr,142,270,0.5259
Kary_Hans,142,340,0.4176
Martin_Billy,142,311,0.4566
Berger_Jay,141,221,0.638
Brown_Jimmy,140,314,0.4459
Mancini_Alberto,140,258,0.5426
Slozil_Pavel,140,301,0.4651
Aguilera_Juan,139,271,0.5129
Istomin_Denis,139,293,0.4744
Pernfors_Mikael,138,248,0.5565
Portas_Albert,138,333,0.4144
Steven_Brett,138,277,0.4982
Frana_Javier,137,277,0.4946
Golmard_Jerome,137,274,0.5
Walts_Butch,136,271,0.5018
Goellner_MarcKevin,135,309,0.4369
Molina_Ivan,134,311,0.4309
Stolle_Fred,134,254,0.5276
Cahill_Darren,132,248,0.5323
Alami_Karim,131,300,0.4367
Battrick_Gerald,131,303,0.4323
Camporese_Omar,131,276,0.4746
Kirmayr_Carlos,131,281,0.4662
Becker_Benjamin,130,301,0.4319
Dimitrov_Grigor,130,223,0.583
Manson_Bruce,129,300,0.43
McEnroe_Patrick,129,277,0.4657
Zivojinovic_Slobodan,129,254,0.5079
Dickson_Mark,128,247,0.5182
Cano_Ricardo,127,268,0.4739
Simpson_Russell,127,314,0.4045
Pinner_Ulrich,125,236,0.5297
Cane_Paolo,124,246,0.5041
Koch_Thomas,124,238,0.521
Pimek_Libor,124,243,0.5103
Arthurs_Wayne,123,276,0.4457
Bellucci_Thomaz,123,251,0.49
Jelen_Eric,123,252,0.4881
Delaitre_Olivier,122,286,0.4266
Kuhnen_Patrik,122,268,0.4552
Mahut_Nicolas,122,284,0.4296
Serra_Florent,122,291,0.4192
Evernden_Kelly,121,251,0.4821
Goldie_Dan,121,237,0.5105
Puerta_Mariano,121,234,0.5171
Lee_HyungTaik,120,275,0.4364
Stark_Jonathan,120,255,0.4706
Vajda_Marian,120,270,0.4444
Krulevitz_Steve,119,315,0.3778
Blanco_Galo,118,290,0.4069
Voinea_Adrian,118,276,0.4275
Lundgren_Peter,117,251,0.4661
Matsuoka_Shuzo,117,261,0.4483
Rahim_Haroon,117,266,0.4398
Eltingh_Jacco,116,243,0.4774
Karbacher_Bernd,116,259,0.4479
Prpic_Goran,115,221,0.5204
Srejber_Milan,115,233,0.4936
Witsken_Todd,115,250,0.46
Feigl_Peter,114,227,0.5022
Maurer_Andreas,114,251,0.4542
Rochus_Christophe,114,322,0.354
Casal_Sergio,112,250,0.448
Gerken_Paul,112,225,0.4978
Haase_Robin,112,248,0.4516
Lu_YenHsun,112,282,0.3972
Cancellotti_Francesco,111,223,0.4978
Velasco_Sr_Jairo,111,264,0.4205
Denton_Steve,109,224,0.4866
Waltke_Trey,109,281,0.3879
Zugarelli_Antonio,109,257,0.4241
Buehning_Fritz,108,226,0.4779
Dowdeswell_Colin,108,270,0.4
Giraldo_Santiago,108,242,0.4463
Van_Patten_Vincent,108,223,0.4843
Bates_Jeremy,107,269,0.3978
Gimelstob_Justin,107,278,0.3849
Johansson_Kjell,107,233,0.4592
Olhovskiy_Andrei,107,260,0.4115
Stakhovsky_Sergiy,107,242,0.4421
Woodruff_Chris,107,212,0.5047
Horna_Luis,106,245,0.4327
Tillstrom_Mikael,106,213,0.4977
Winitsky_Van,106,239,0.4435
Bengtson_Ove_Nils,105,255,0.4118
Duncan_Lawson,105,215,0.4884
Gonzalez_Francisco,105,263,0.3992
Mezzadri_Claudio,105,236,0.4449
Motta_Cassio,105,270,0.3889
Fleurian_JeanPhilippe,104,257,0.4047
Frawley_Rod,104,234,0.4444
Gehring_Rolf,104,228,0.4561
Estep_Mike,103,259,0.3977
Hooper_Chip,102,219,0.4658
Bengoechea_Eduardo,101,213,0.4742
Gonzales_Richard_Pancho,101,159,0.6352
Kronk_Paul,101,281,0.3594
Andujar_Pablo,100,240,0.4167
Berlocq_Carlos,100,243,0.4115
Draper_Scott,100,218,0.4587
Panatta_Claudio,100,235,0.4255
Antonitsch_Alex,99,228,0.4342
Champion_Thierry,99,260,0.3808
Cornejo_Patricio,99,273,0.3626
Pohmann_HansJurgen,99,199,0.4975
Bertram_Byron,98,224,0.4375
Ocleppo_Gianni,98,221,0.4434
Portes_Pascal,98,214,0.4579
Dodig_Ivan,97,199,0.4874
Simonsson_Stefan,97,217,0.447
Muller_Gilles,96,212,0.4528
Munoz_Antonio,96,258,0.3721
Ondruska_Marcos,96,221,0.4344
Ralston_Dennis,96,181,0.5304
Zednik_Vladimir,96,240,0.4
Shelton_Bryan,95,218,0.4358
Stolle_Sandon,94,208,0.4519
Amritraj_Anand,93,259,0.3591
Ball_Syd,92,246,0.374
Cahill_Mike,92,240,0.3833
Gicquel_Marc,92,205,0.4488
Hogstedt_Thomas,91,246,0.3699
Pescosolido_Stefano,91,234,0.3889
Rebolledo_Pedro,91,194,0.4691
Nargiso_Diego,90,237,0.3797
RogerVasselin_Christophe,90,218,0.4128
Youl_Simon,90,229,0.393
OBrien_Alex,89,214,0.4159
Visser_Danie,89,217,0.4101
Ruud_Christian,88,201,0.4378
Dreekmann_Hendrik,87,195,0.4462
Elter_Peter,87,202,0.4307
Keretic_Damir,87,207,0.4203
Martinez_Mario,87,159,0.5472
Sanchez_David,87,206,0.4223
Seguso_Robert,87,178,0.4888
Burgsmuller_Lars,86,236,0.3644
Dupuis_Antony,86,214,0.4019
Edwards_Eddie,86,217,0.3963
Falla_Alejandro,86,231,0.3723
Fletcher_Ian,86,185,0.4649
Ilie_Andrew,86,198,0.4343
Petzschner_Philipp,86,191,0.4503
Sela_Dudi,86,206,0.4175
Holm_Henrik,85,183,0.4645
Muller_Gary,85,202,0.4208
Yuill_John,85,217,0.3917
Gumy_Hernan,84,191,0.4398
Mayer_Leonardo,84,181,0.4641
Pugh_Jim,84,176,0.4773
Sluiter_Raemon,84,205,0.4098
Testerman_Ben,84,186,0.4516
Bloom_Gilad,83,187,0.4439
Jonsson_Lars,83,211,0.3934
Menon_Sashi,83,250,0.332
Vant_Hof_Robert,83,187,0.4439
Vinciguerra_Andreas,83,172,0.4826
Vliegen_Kristof,83,197,0.4213
Adams_Chuck,82,173,0.474
Anger_Matt,82,188,0.4362
Gabashvili_Teymuraz,82,231,0.355
Gimenez_Angel,82,187,0.4385
Goldstein_Paul,82,194,0.4227
James_John,82,215,0.3814
Kunitsyn_Igor,82,227,0.3612
Kubot_Lukasz,81,198,0.4091
Odizor_Nduka,81,201,0.403
Stafford_Grant,81,186,0.4355
Holmes_Greg,80,171,0.4678
Phau_Bjorn,80,217,0.3687
Hocevar_Marcos,79,171,0.462
Holecek_Milan,79,214,0.3692
Berrer_Michael,78,202,0.3861
Caujolle_JeanFrancois,78,187,0.4171
Dyke_Broderick,78,199,0.392
Prajoux_Belus,78,203,0.3842
Layendecker_Glenn,77,181,0.4254
Russell_Michael,77,225,0.3422
Schaller_Gilbert,77,183,0.4208
Tomic_Bernard,77,164,0.4695
Cuevas_Pablo,76,156,0.4872
De_Palmer_Mike,76,161,0.472
Ostoja_Marko,76,211,0.3602
RogerVasselin_Edouard,76,186,0.4086
Bauer_Mike,75,166,0.4518
Bolelli_Simone,75,188,0.3989
Hernych_Jan,75,184,0.4076
Lapidus_Jay,75,182,0.4121
Marin_Juan_Antonio,75,194,0.3866
Pistolesi_Claudio,75,184,0.4076
Saulnier_Cyril,75,186,0.4032
Burillo_Jordi,74,186,0.3978
Froehling_Frank,74,175,0.4229
GimenoTraver_Daniel,74,213,0.3474
Lareau_Sebastien,74,184,0.4022
Paire_Benoit,74,163,0.454
Bautista_Agut_Roberto,73,128,0.5703
Hardie_George,73,211,0.346
Maud_Robert,73,200,0.365
RamosVinolas_Albert,73,165,0.4424
Westphal_Michael,73,169,0.432
Leach_Mike,72,175,0.4114
Rosol_Lukas,72,160,0.45
Taygan_Ferdi,72,190,0.3789
Dewulf_Filip,71,173,0.4104
Nestor_Daniel,71,174,0.408
Saceanu_Christian,71,183,0.388
Shiras_Leif,71,173,0.4104
Carter_David,70,184,0.3804
Kratochvil_Michel,70,159,0.4403
Michibata_Glenn,70,182,0.3846
Stilwell_Graham,70,230,0.3043
Benhabiles_Tarik,69,174,0.3966
Bourne_Lloyd,69,160,0.4312
Calatrava_Alex,69,177,0.3898
Delaney_Jim,69,198,0.3485
Delgado_Ramon,69,171,0.4035
Feaver_John,69,228,0.3026
Frawley_John,69,159,0.434
Giltinan_Bob,69,160,0.4312
Bogomolov_Jr_Alex,68,171,0.3977
Canter_Jonathan,68,163,0.4172
Davidson_Owen,68,165,0.4121
Di_Pasquale_Arnaud,68,166,0.4096
Korolev_Evgeny,68,156,0.4359
McManus_Jim,68,242,0.281
McNair_IV_Fred,68,216,0.3148
Spear_Nicola,68,204,0.3333
Connell_Grant,67,162,0.4136
Johansson_Joachim,67,119,0.563
Kuki_Jun,67,177,0.3785
Vanek_Jiri,67,186,0.3602
Koevermans_Mark,66,147,0.449
LopezMaeso_Jose,66,160,0.4125
Ramirez_Hidalgo_Ruben,66,197,0.335
Roux_Lionel,66,167,0.3952
Saretta_Flavio,66,140,0.4714
Zoecke_Markus,66,160,0.4125
Elschenbroich_Harald,65,146,0.4452
PintoBravo_Jaime,65,170,0.3824
Acuna_Ricardo,64,167,0.3832
Braasch_Karsten,64,151,0.4238
Hernandez_Oscar,64,188,0.3404
Mitchell_Matt,64,168,0.381
Roig_Francisco,64,158,0.4051
Baur_Patrick,63,163,0.3865
Birner_Stanislav,63,182,0.3462
Darcis_Steve,63,142,0.4437
Lavalle_Leonardo,63,160,0.3938
Oncins_Jaime,63,148,0.4257
Boutter_Julien,62,146,0.4247
Kroslak_Jan,62,145,0.4276
Lewis_Richard,62,173,0.3584
Zverev_Mischa,62,164,0.378
van_Lottum_John,62,158,0.3924
Caratti_Cristiano,61,166,0.3675
Gilbert_Rodolphe,61,167,0.3653
Moretton_Gilles,61,151,0.404
Arguello_Roberto,60,142,0.4225
Beck_Karol,60,170,0.3529
Deblicker_Eric,60,146,0.411
Osterthun_Ricki,60,139,0.4317
Pala_Frantisek,60,168,0.3571
Palmer_Jared,60,129,0.4651
Ycaza_Ricardo,60,152,0.3947
Cooper_John,59,120,0.4917
Kratzmann_Mark,59,154,0.3831
Matosevic_Marinko,59,136,0.4338
Miniussi_Christian,59,139,0.4245
Mronz_Alexander,59,154,0.3831
Bowrey_Bill,58,140,0.4143
LoyoMayo_Joaquin,58,163,0.3558
Young_Donald,58,166,0.3494
Austin_Jeff,57,134,0.4254
Bedel_Dominique,57,143,0.3986
Kamiwazumi_Jun,57,145,0.3931
Kukushkin_Mikhail,57,139,0.4101
Chamberlin_Paul,56,124,0.4516
Harrison_Ryan,56,140,0.4
Markus_Gabriel,56,127,0.4409
Owens_Charles,56,127,0.4409
Schwaier_Hans,56,141,0.3972
Verkerk_Martin,56,120,0.4667
Carlsson_Johan,55,131,0.4198
Edlefsen_Tom,55,161,0.3416
Hjertquist_Per,55,125,0.44
Lacko_Lukas,55,141,0.3901
Morgan_Jamie,55,124,0.4435
Osborne_Jim,55,125,0.44
Eberhard_Klaus,54,126,0.4286
Giammalva_Tony,54,133,0.406
Hipfl_Markus,54,131,0.4122
Janowicz_Jerzy,54,108,0.5
Kamke_Tobias,54,142,0.3803
Matuszewski_Richard,54,132,0.4091
Pereira_Nicolas,54,155,0.3484
Potier_Jerome,54,146,0.3699
Tebbutt_Michael,54,124,0.4355
Freeman_Marcel,53,139,0.3813
Fritz_Bernard,53,135,0.3926
Klizan_Martin,53,113,0.469
Nelson_Todd,53,143,0.3706
Stefanki_Larry,53,140,0.3786
Austin_John,52,133,0.391
Brands_Daniel,52,134,0.3881
Lara_Marcelo,52,153,0.3399
Oresar_Bruno,52,120,0.4333
Stenlund_Ulf,52,96,0.5417
Black_Wayne,51,131,0.3893
Flach_Ken,51,132,0.3864
Fromm_Eric,51,133,0.3835
Letcher_Cliff,51,159,0.3208
